limit,pi_approximation
100,3.125766292325387
502612,3.141589528318377
1005124,3.141591090799502
1507636,3.141591611694845
2010148,3.141591872155668
2512660,3.141592028436046
3015172,3.141592132624693
3517684,3.141592207046037
4020196,3.141592262862435
4522708,3.141592306275225
5025220,3.141592341005909
5527732,3.141592369421847
6030244,3.141592393102229
6532756,3.141592413139078
7035268,3.141592430313970
7537780,3.141592445198606
8040292,3.141592458222928
8542805,3.141592837461986
9045317,3.141592827247073
9547829,3.141592818107172
10050341,3.141592809881494
10552853,3.141592802439013
11055365,3.141592795673097
11557877,3.141592789495407
12060389,3.141592783832567
12562901,3.141592778622477
13065413,3.141592773813626
13567925,3.141592769360734
14070437,3.141592765226165
14572949,3.141592761376667
15075461,3.141592757783477
15577973,3.141592754422343
16080485,3.141592751271101
16582997,3.141592748310904
17085510,3.141592561650219
17588022,3.141592564277043
18090534,3.141592566757947
18593046,3.141592569104767
19095558,3.141592571328082
19598070,3.141592573437306
20100582,3.141592575441202
20603094,3.141592577346965
21105606,3.141592579162483
21608118,3.141592580893352
22110630,3.141592582545450
22613142,3.141592584124028
23115654,3.141592585633934
23618166,3.141592587079750
24120678,3.141592588465589
24623190,3.141592589794624
25125703,3.141592716105452
25628215,3.141592714879404
26130727,3.141592713701018
26633239,3.141592712567139
27135751,3.141592711474879
27638263,3.141592710422298
28140775,3.141592709407512
28643287,3.141592708428209
29145799,3.141592707482696
29648311,3.141592706568899
30150823,3.141592705686221
30653335,3.141592704832246
31155847,3.141592704005848
31658359,3.141592703205466
32160871,3.141592702430246
32663383,3.141592701678894
33165895,3.141592700950397
33668408,3.141592606933584
34170920,3.141592607619671
34673432,3.141592608285771
35175944,3.141592608932778
35678456,3.141592609561716
36180968,3.141592610173009
36683480,3.141592610767666
37185992,3.141592611346316
37688504,3.141592611909474
38191016,3.141592612457810
38693528,3.141592612991960
39196040,3.141592613512274
39698552,3.141592614019490
40201064,3.141592614514145
40703576,3.141592614996286
41206088,3.141592615466799
41708601,3.141592691248704
42211113,3.141592690800412
42713625,3.141592690362508
43216137,3.141592689934898
43718649,3.141592689517108
44221161,3.141592689108649
44723673,3.141592688709522
45226185,3.141592688318954
45728697,3.141592687937290
46231209,3.141592687563922
46733721,3.141592687198522
47236233,3.141592686840883
47738745,3.141592686490301
48241257,3.141592686147590
48743769,3.141592685811849
49246281,3.141592685483091
49748793,3.141592685160912
50251306,3.141592622327584
50753818,3.141592622637062
51256330,3.141592622940341
51758842,3.141592623237869
52261354,3.141592623529556
52763866,3.141592623815807
53266378,3.141592624096642
53768890,3.141592624372243
54271402,3.141592624642747
54773914,3.141592624908204
55276426,3.141592625169884
55778938,3.141592625425839
56281450,3.141592625677212
56783962,3.141592625924195
57286474,3.141592626166842
57788986,3.141592626405239
58291498,3.141592626639524
58794011,3.141592680303884
59296523,3.141592680077430
59799035,3.141592679854776
60301547,3.141592679636242
60804059,3.141592679420948
61306571,3.141592679209110
61809083,3.141592679000843
62311595,3.141592678796380
62814107,3.141592678594665
63316619,3.141592678396192
63819131,3.141592678200935
64321643,3.141592678008645
64824155,3.141592677819431
65326667,3.141592677633009
65829179,3.141592677449430
66331691,3.141592677268654
66834204,3.141592630084866
67336716,3.141592630259988
67839228,3.141592630432856
68341740,3.141592630603075
68844252,3.141592630770796
69346764,3.141592630936121
69849276,3.141592631099086
70351788,3.141592631259770
70854300,3.141592631418094
71356812,3.141592631574206
71859324,3.141592631727943
72361836,3.141592631879871
72864348,3.141592632029576
73366860,3.141592632177260
73869372,3.141592632322985
74371884,3.141592632466587
74874396,3.141592632608315
75376909,3.141592674426630
75879421,3.141592674288683
76381933,3.141592674152511
76884445,3.141592674018094
77386957,3.141592673885416
77889469,3.141592673753991
78391981,3.141592673624733
78894493,3.141592673497118
79397005,3.141592673371162
79899517,3.141592673246720
80402029,3.141592673124085
80904541,3.141592673002707
81407053,3.141592672882873
81909565,3.141592672764506
82412077,3.141592672647484
82914589,3.141592672531997
83417102,3.141592634756674
83919614,3.141592634869542
84422126,3.141592634980850
84924638,3.141592635090904
85427150,3.141592635199667
85929662,3.141592635307209
86432174,3.141592635413451
86934686,3.141592635518454
87437198,3.141592635622271
87939710,3.141592635724546
88442222,3.141592635826055
88944734,3.141592635926480
89447246,3.141592636025696
89949758,3.141592636123816
90452270,3.141592636220880
90954782,3.141592636316815
91457294,3.141592636411657
91959807,3.141592670668235
92462319,3.141592670575387
92964831,3.141592670483528
93467343,3.141592670392630
93969855,3.141592670302802
94472367,3.141592670213847
94974879,3.141592670137617
95477391,3.141592670137617
95979903,3.141592670137617
96482415,3.141592670137617
96984927,3.141592670137617
97487439,3.141592670137617
97989951,3.141592670137617
98492463,3.141592670137617
98994975,3.141592670137617
99497487,3.141592670137617
100000000,3.141592670137617
