mu,pi approximation
2,3.141591082791771
3,3.141595009787029
5,3.141588726591186
6,3.141587941199227
7,3.141598151386842
9,3.141599722187876
10,3.141584799578383
11,3.141601292989822
13,3.141602863792447
14,3.141581658023464
15,3.141580872609715
17,3.141579301842468
18,3.141578516440166
19,3.141577731037511
21,3.141609147010776
22,3.141575374860205
23,3.141574589583069
25,3.141573018451080
26,3.141572233283266
27,3.141613859432578
29,3.141569876954603
30,3.141569091850857
31,3.141568306669559
33,3.141618571861843
34,3.141565949925224
35,3.141565164842890
37,3.141621713485133
38,3.141562808272887
39,3.141623284297978
41,3.141560452768093
42,3.141559667006996
43,3.141558881194231
45,3.141557311312750
46,3.141556526096052
47,3.141555739926734
49,3.141631138642924
50,3.141553382944930
51,3.141552597837707
53,3.141551026826170
54,3.141550242332563
55,3.141549456231692
57,3.141547885295580
58,3.141547101145315
59,3.141546316389687
61,3.141544744834691
62,3.141543960693009
63,3.141642134112987
65,3.141541602740971
66,3.141540817686710
67,3.141540032800714
69,3.141538460635448
70,3.141537675374634
71,3.141536890787099
73,3.141535319502266
74,3.141534534605088
75,3.141533750015763
77,3.141653129890816
78,3.141531393068993
79,3.141530609081446
81,3.141656269830624
82,3.141528253596813
83,3.141527467880689
85,3.141525894286862
86,3.141525107709684
87,3.141524326161615
89,3.141522751099807
90,3.141521971024053
91,3.141664125707029
93,3.141519611131424
94,3.141518828432514
95,3.141518042955917
97,3.141516472529496
98,3.141515688668060
99,3.141670409047814
101,3.141513325450032
102,3.141512540553678
103,3.141511756638513
105,3.141510185184792
106,3.141509398408084
107,3.141508614463085
109,3.141507048111256
110,3.141506257091913
111,3.141679834082633
113,3.141503904274036
114,3.141503115087698
115,3.141502332518745
117,3.141684546610620
118,3.141499977139408
119,3.141499194140646
121,3.141687693527124
122,3.141496833887994
123,3.141496056075674
125,3.141494474217256
126,3.141493694880887
127,3.141492915740284
129,3.141491333135934
130,3.141490556040108
131,3.141489766931995
133,3.141488193244570
134,3.141487409367674
135,3.141486627952292
137,3.141485059273231
138,3.141484272355352
139,3.141483489017209
141,3.141481919106720
142,3.141481132933359
143,3.141704967646933
145,3.141478772066157
146,3.141477990646506
147,3.141708104507611
149,3.141475633022809
150,3.141474843129069
